"","x","y1","y2","diff"
"299",0.749773192685097,0.865771812080537,0.724832214765101,0.140939597315436
"300",0.74848308658693,0.866220735785953,0.722408026755853,0.1438127090301
"301",0.747219280921854,0.866666666666667,0.72,0.146666666666667
"302",0.746980461524799,0.867109634551495,0.720930232558139,0.146179401993356
"303",0.744759221677668,0.867549668874172,0.721854304635762,0.145695364238411
"304",0.743944606161676,0.867986798679868,0.722772277227723,0.145214521452145
"305",0.743367087794468,0.868421052631579,0.723684210526316,0.144736842105263
"306",0.743067703791894,0.868852459016393,0.724590163934426,0.144262295081967
"307",0.742495619575493,0.869281045751634,0.722222222222222,0.147058823529412
"308",0.740687474259175,0.86970684039088,0.719869706840391,0.149837133550489
"309",0.739611234283075,0.87012987012987,0.720779220779221,0.149350649350649
"310",0.739401342929341,0.870550161812298,0.72168284789644,0.148867313915858
"311",0.738516519661061,0.870967741935484,0.719354838709677,0.151612903225806
"312",0.738125264020273,0.868167202572347,0.720257234726688,0.147909967845659
"313",0.736308367690071,0.868589743589744,0.721153846153846,0.147435897435897
"314",0.735954860574566,0.869009584664537,0.722044728434505,0.146964856230032
"315",0.733896166668274,0.869426751592357,0.722929936305732,0.146496815286624
"316",0.733580594300292,0.86984126984127,0.723809523809524,0.146031746031746
"317",0.733210482169741,0.867088607594937,0.724683544303797,0.142405063291139
"318",0.730127644608729,0.867507886435331,0.725552050473186,0.141955835962145
"319",0.728698633628902,0.864779874213837,0.723270440251572,0.141509433962264
"320",0.728496788399001,0.862068965517241,0.724137931034483,0.137931034482759
"321",0.728413314092904,0.8625,0.725,0.1375
"322",0.728045741212554,0.862928348909657,0.725856697819315,0.137071651090343
"323",0.726241685682908,0.863354037267081,0.72360248447205,0.139751552795031
"324",0.723291082794403,0.860681114551084,0.724458204334365,0.136222910216718
"325",0.722016931511462,0.861111111111111,0.722222222222222,0.138888888888889
"326",0.71984868333675,0.861538461538462,0.723076923076923,0.138461538461539
"327",0.71952102589421,0.861963190184049,0.723926380368098,0.138036809815951
"328",0.718114048662393,0.859327217125382,0.724770642201835,0.134556574923547
"329",0.71776552987285,0.859756097560976,0.725609756097561,0.134146341463415
"330",0.716253698687069,0.860182370820669,0.726443768996961,0.133738601823708
"331",0.715508185210638,0.860606060606061,0.727272727272727,0.133333333333333
"332",0.714721981436014,0.861027190332326,0.72809667673716,0.132930513595166
"333",0.714626042288728,0.86144578313253,0.728915662650602,0.132530120481928
"334",0.713689541444182,0.861861861861862,0.72972972972973,0.132132132132132
"335",0.713487883214839,0.862275449101796,0.727544910179641,0.134730538922156
"336",0.712920037913136,0.862686567164179,0.728358208955224,0.134328358208955
"337",0.712054589064792,0.863095238095238,0.729166666666667,0.133928571428572
"338",0.712015104014426,0.863501483679525,0.72700296735905,0.136498516320475
"339",0.711888879200399,0.86094674556213,0.727810650887574,0.133136094674556
"340",0.711523496895097,0.861356932153392,0.725663716814159,0.135693215339233
"341",0.711165337706916,0.861764705882353,0.726470588235294,0.135294117647059
"342",0.71067984518595,0.86217008797654,0.724340175953079,0.13782991202346
"343",0.70845901418943,0.862573099415205,0.722222222222222,0.140350877192982
"344",0.708314361632802,0.862973760932945,0.723032069970845,0.139941690962099
"345",0.707956600817852,0.863372093023256,0.723837209302326,0.13953488372093
"346",0.706752338679507,0.863768115942029,0.721739130434783,0.142028985507246
"347",0.705953821074218,0.864161849710983,0.719653179190751,0.144508670520231
"348",0.705935791118166,0.861671469740634,0.720461095100865,0.141210374639769
"349",0.705264637828805,0.862068965517241,0.718390804597701,0.14367816091954
"350",0.704394240130037,0.859598853868195,0.716332378223496,0.143266475644699
"351",0.704207200324163,0.86,0.714285714285714,0.145714285714286
"352",0.703796149697155,0.86039886039886,0.712250712250712,0.148148148148148
"353",0.70362571021542,0.860795454545455,0.710227272727273,0.150568181818182
"354",0.702618168181682,0.858356940509915,0.708215297450425,0.15014164305949
"355",0.702086625620723,0.858757062146893,0.706214689265537,0.152542372881356
"356",0.699704975006171,0.859154929577465,0.707042253521127,0.152112676056338
"357",0.698592655127868,0.859550561797753,0.705056179775281,0.154494382022472
"358",0.697548499447294,0.859943977591036,0.703081232492997,0.156862745098039
"359",0.696560419397429,0.860335195530726,0.701117318435754,0.159217877094972
"360",0.695885872817598,0.860724233983287,0.6991643454039,0.161559888579387
"361",0.694749892340042,0.861111111111111,0.697222222222222,0.163888888888889
"362",0.693025327986106,0.861495844875346,0.695290858725762,0.166204986149584
"363",0.692133343778551,0.861878453038674,0.693370165745856,0.168508287292818
"364",0.691052146011349,0.859504132231405,0.691460055096419,0.168044077134986
"365",0.690964777244821,0.857142857142857,0.68956043956044,0.167582417582418
"366",0.690144647029229,0.857534246575342,0.687671232876712,0.16986301369863
"367",0.687978171277791,0.85792349726776,0.685792349726776,0.172131147540984
"368",0.687799688312225,0.858310626702997,0.683923705722071,0.174386920980926
"369",0.687303192910836,0.855978260869565,0.682065217391304,0.173913043478261
"370",0.687082928605378,0.856368563685637,0.682926829268293,0.173441734417344
"371",0.686410072492436,0.856756756756757,0.681081081081081,0.175675675675676
"372",0.686132850940339,0.857142857142857,0.679245283018868,0.177897574123989
"373",0.684848243137822,0.85752688172043,0.67741935483871,0.18010752688172
"374",0.684587976429611,0.857908847184987,0.67828418230563,0.179624664879357
"375",0.683590219821781,0.858288770053476,0.676470588235294,0.181818181818182
"376",0.683199813822284,0.858666666666667,0.674666666666667,0.184
"377",0.680476652433982,0.856382978723404,0.672872340425532,0.183510638297872
"378",0.678767711900948,0.854111405835544,0.671087533156499,0.183023872679045
